intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,NGC-4536,GALAXY;SPIRAL,ib1f24030,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.18538538194,55396.20191296296,1300.0,702.5,961.2,Narrowing in on the Hubble Constant and Dark Energy,55761.40418974,11570,GO,,POLYGON -171.38520204999998 2.19084939 -171.39487938000002 2.21137002 -171.39490502907194 2.211359855478932 -171.39491684 2.2113849 -171.43709288000002 2.19467008 -171.42741507 2.17414972 -171.42738942160716 2.1741598851517354 -171.42737761 2.17413484 -171.38520204999998 2.19084939 -171.38520204999998 2.19084939,mast:HST/product/ib1f24030_drz.jpg,mast:HST/product/ib1f24030_drz.fits,PUBLIC,False,,24795528,920268311
science,HST,CALWF3,WFC3/UVIS,HST,F555W,OPTICAL,NGC-4536,GALAXY;SPIRAL,ib1f24020,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.13081354167,55396.18370702546,1300.0,441.7,659.1,Narrowing in on the Hubble Constant and Dark Energy,55761.40283557,11570,GO,,POLYGON -171.38520204999998 2.19084939 -171.39487938000002 2.21137002 -171.39490502907194 2.211359855478932 -171.39491684 2.2113849 -171.43709288000002 2.19467008 -171.42741507 2.17414972 -171.42738942160716 2.1741598851517354 -171.42737761 2.17413484 -171.38520204999998 2.19084939 -171.38520204999998 2.19084939,mast:HST/product/ib1f24020_drz.jpg,mast:HST/product/ib1f24020_drz.fits,PUBLIC,False,,24795527,920268313
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-4536,GALAXY;SPIRAL,hst_11570_24_wfc3_uvis_f555w_ib1f24,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.13081354,55396.18370704,1300.0,441.7,659.1,,55761.40283557,11570,HAP,,POLYGON 188.6146825010522 2.190993189219108 188.57248950431915 2.174110942110973 188.56280836191993 2.194757256918546 188.6049027072059 2.2113536347535785 188.6146825010522 2.190993189219108 POLYGON 188.56270923389687 2.1951314443833 188.55322607544255 2.2154475330394314 188.55325911272283 2.2156456336890358 188.59514467303367 2.231780049575073 188.60478156051897 2.21168380310701 188.56270923389687 2.1951314443833,mast:HST/product/hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.jpg,mast:HST/product/hst_11570_24_wfc3_uvis_f555w_ib1f24_drc.fits,PUBLIC,False,,26506213,935226466
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-4536,GALAXY;SPIRAL,hst_11570_24_wfc3_uvis_f814w_ib1f24,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.18538539,55396.20191296,1300.0,702.5,961.2,,55761.40418974,11570,HAP,,POLYGON 188.6146825010522 2.190993189219108 188.57247849083728 2.174110942027873 188.56280836191993 2.194757256918546 188.6049027072059 2.2113536347535785 188.6146825010522 2.190993189219108 POLYGON 188.604770546143 2.211639781042536 188.56273126101308 2.1951424502496097 188.55320404424467 2.2156236214433336 188.59514467303367 2.231780049575073 188.604770546143 2.211639781042536,mast:HST/product/hst_11570_24_wfc3_uvis_f814w_ib1f24_drc.jpg,mast:HST/product/hst_11570_24_wfc3_uvis_f814w_ib1f24_drc.fits,PUBLIC,False,,26506237,935226913
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-4536,GALAXY;SPIRAL,hst_11570_24_wfc3_uvis_total_ib1f24,188.58270875,2.205797222222,image,"Riess, Adam",3,55396.13081354,55396.20191296,2600.0,,,,55761.40418974,11570,HAP,,POLYGON 188.6146825010522 2.190993189219108 188.57248950431915 2.174110942110973 188.56284140219833 2.194801279602627 188.60492473425202 2.2113206177773987 188.6146825010522 2.190993189219108 POLYGON 188.56270923342734 2.195164461047776 188.55320404424467 2.2156236214433336 188.59517771425823 2.2317140160049216 188.6047595336185 2.211727825635921 188.56270923342734 2.195164461047776,mast:HST/product/hst_11570_24_wfc3_uvis_total_ib1f24_drc.jpg,mast:HST/product/hst_11570_24_wfc3_uvis_total_ib1f24_drc.fits,PUBLIC,False,,26506269,935227871
science,HST,HAP-MVM,WFC3/UVIS,HAP,F350LP,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_skycell-p1637x17y08_wfc3_uvis_f350lp_all,190.71699875,13.25730833333,image,,3,55050.46460205,55050.47071295,400.0,325.5,993.8,,55415.64682862,,,,POLYGON 190.75200252270974 13.248061576213923 190.7123448307138 13.224146794530686 190.69896493409306 13.242811188197571 190.73848923822618 13.266405556183452 190.75200252270974 13.248061576213923 POLYGON 190.73830502821664 13.2666598863433 190.69878009931338 13.243154324549716 190.68552500781945 13.261618832797778 190.72500766420234 13.284826700760998 190.73830502821664 13.2666598863433,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f350lp_all_drc.jpg,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f350lp_all_drc.fits,PUBLIC,False,,87524006,659453591
science,HST,HAP-MVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_skycell-p1637x17y08_wfc3_uvis_f555w_all,190.71699875,13.25730833333,image,,3,55050.40285427,55050.4135948,800.0,441.7,659.1,,55415.5361111,,,,POLYGON 190.7520142218275 13.248017222621508 190.71242481252375 13.224125068893096 190.69897649098743 13.242789048109792 190.73852345882236 13.26640576089982 190.7520142218275 13.248017222621508 POLYGON 190.73836213651592 13.266649122274348 190.69882587213016 13.243132394115735 190.68554774350045 13.2616300789364 190.72501914640557 13.284815664366326 190.73836213651592 13.266649122274348,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f555w_all_drc.jpg,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f555w_all_drc.fits,PUBLIC,False,,87524005,659499603
science,HST,HAP-MVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-4639,GALAXY;SPIRAL,hst_skycell-p1637x17y08_wfc3_uvis_f814w_all,190.71699875,13.25730833333,image,,3,55050.44801649,55050.45875703,800.0,702.5,961.2,,55415.64584487,,,,POLYGON 190.7520594799414 13.248073019227316 190.71241340802385 13.224124999712988 190.6989761119572 13.242844573012022 190.7385120519568 13.266405692661525 190.7520594799414 13.248073019227316 POLYGON 190.69881446683357 13.243132324234448 190.6855363374301 13.261630008369183 190.72500773876925 13.284815595433859 190.73838458068207 13.266704785306068 190.69881446683357 13.243132324234448,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f814w_all_drc.jpg,mast:HST/product/hst_skycell-p1637x17y08_wfc3_uvis_f814w_all_drc.fits,PUBLIC,False,,87524004,659516774
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,NGC-4639,GALAXY;SPIRAL,ib1f23050,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.4480165162,55050.45264591435,800.0,702.5,961.2,Narrowing in on the Hubble Constant and Dark Energy,55415.64584487,11570,GO,,POLYGON -169.24793320000003 13.24816187 -169.26137634999998 13.26669274 -169.30103513 13.24291371 -169.28759027 13.22438493 -169.24793320000003 13.24816187 -169.24793320000003 13.24816187,mast:HST/product/ib1f23050_drz.jpg,mast:HST/product/ib1f23050_drz.fits,PUBLIC,False,,24795525,920268402
science,HST,CALWF3,WFC3/UVIS,HST,F555W,OPTICAL,NGC-4639,GALAXY;SPIRAL,ib1f23040,190.71699875,13.25730833333,image,"Riess, Adam",3,55050.40285428241,55050.40748368055,800.0,441.7,659.1,Narrowing in on the Hubble Constant and Dark Energy,55415.5361111,11570,GO,,POLYGON -169.24793320000003 13.24816187 -169.26137634999998 13.26669274 -169.30103513 13.24291371 -169.28759027 13.22438493 -169.24793320000003 13.24816187 -169.24793320000003 13.24816187,mast:HST/product/ib1f23040_drz.jpg,mast:HST/product/ib1f23040_drz.fits,PUBLIC,False,,24795524,920268411
