Gal,f_Gal,SN,Nc,IRexp,Oexp,PID,Date,Simbad,NED,_RA,_DE
M101,d,2011fe,251,4847,3776,12880,2013-03-03,Simbad,NED,210.80243,54.34875
N1015,,2009ig,14,14364,39336,12880,2013-06-30,Simbad,NED,39.54819,-1.31862
N1309,d,2002fk,44,6991,3002,"11570,12880",2010-07-24,Simbad,NED,50.52732,-15.39994
N1365,d,2012fr,32,3618,3180,12880,2013-08-06,Simbad,NED,53.40191,-36.14066
N1448,,2001el,54,6035,17562,12880,2013-09-15,Simbad,NED,56.13298,-44.64483
N2442,,2015F,141,6035,20976,13646,2016-01-21,Simbad,NED,114.09934,-69.53082
N3021,d,1995al,18,4426,2962,"11570,12880",2010-06-03,Simbad,NED,147.73811,33.55359
N3370,d,1994ae,63,4376,2982,"11570,12880",2010-04-04,Simbad,NED,161.76683,17.2737
N3447,,2012ht,80,4529,19114,12880,2013-12-15,Simbad,NED,163.34988,16.77243
N3972,,2011by,42,6635,19932,13647,2015-04-19,Simbad,NED,178.93799,55.32067
N3982,d,1998aq,16,4018,1400,11570,2009-08-04,Simbad,NED,179.11737,55.12536
N4038,d,2007sr,13,6795,2064,11577,2010-01-22,Simbad,NED,180.47084,-18.86759
N4258,d,Anchor,139,34199,6120,11570,2009-12-03,Simbad,NED,184.74008,47.30372
N4424,,2012cg,3,3623,17782,12880,2014-01-08,Simbad,NED,186.79823,9.42064
N4536,d,1981B,33,2565,2600,11570,2010-07-19,Simbad,NED,188.61304,2.18788
N4639,d,1990N,25,5379,1600,11570,2009-08-07,Simbad,NED,190.71824,13.25742
N5584,,2007af,83,4929,59940,11570,2010-04-04,Simbad,NED,215.59921,-0.38745
N5917,,2005cf,13,7235,23469,12880,2013-05-20,Simbad,NED,230.38563,-7.37709
N7250,,2013dy,22,5435,18158,12880,2013-10-12,Simbad,NED,334.57407,40.56241
U9391,,2003du,28,13711,39336,12880,2012-12-14,Simbad,NED,218.65422,59.33783
