OGLE,RAJ2000,DEJ2000,Geo,logP,F555Wmag,e_F555Wmag,F814Wmag,e_F814Wmag,F160Wmag,e_F160Wmag,mWH,e_mWH,Nobs,Simbad
434,74.114583,-69.379611,0.028,1.482,13.131,0.028,12.208,0.011,11.321,0.018,10.966,0.021,4,Simbad
501,74.462625,-69.95825,0.034,1.367,13.623,0.022,12.693,0.012,11.77,0.021,11.406,0.023,3,Simbad
510,74.523208,-69.454333,0.027,1.566,13.457,0.037,12.299,0.021,11.232,0.042,10.787,0.045,3,Simbad
512,74.545,-69.949694,0.033,1.595,13.134,0.025,12.005,0.017,11.038,0.017,10.598,0.02,3,Simbad
528,74.636583,-70.346028,0.038,1.553,13.175,0.052,12.156,0.021,11.226,0.02,10.824,0.029,3,Simbad
545,74.696292,-70.061583,0.034,1.199,14.414,0.045,13.349,0.01,12.311,0.018,11.895,0.025,3,Simbad
590,74.921417,-69.456111,0.025,1.502,13.47,0.025,12.382,0.014,11.311,0.038,10.895,0.039,3,Simbad
594,74.937833,-69.493194,0.025,0.828,15.279,0.012,14.352,0.011,13.525,0.03,13.171,0.03,6,Simbad
648,75.2015,-69.531861,0.025,1.134,14.74,0.012,13.675,0.009,12.714,0.028,12.308,0.029,6,Simbad
683,75.353917,-70.07175,0.031,1.166,14.446,0.009,13.35,0.009,12.481,0.02,12.056,0.021,3,Simbad
712,75.477375,-68.904028,0.016,1.316,13.771,0.033,12.862,0.009,11.889,0.038,11.552,0.04,3,Simbad
716,75.503958,-68.922833,0.016,1.085,14.958,0.012,13.895,0.011,12.938,0.023,12.541,0.024,3,Simbad
727,75.542667,-69.539917,0.023,1.161,14.208,0.01,13.231,0.01,12.375,0.033,12.004,0.034,3,Simbad
757,75.629333,-69.397056,0.021,0.924,15.153,0.012,14.214,0.012,13.364,0.023,13.01,0.024,3,Simbad
770,75.71475,-68.784806,0.013,1.035,14.698,0.012,13.757,0.01,12.913,0.029,12.566,0.03,3,Simbad
787,75.78775,-69.223333,0.018,1.243,14.243,0.009,13.186,0.009,12.281,0.042,11.884,0.042,3,Simbad
798,75.848542,-69.000889,0.015,1.029,14.891,0.011,13.86,0.009,12.934,0.02,12.55,0.021,3,Simbad
800,75.854417,-68.7725,0.012,1.101,14.541,0.018,13.584,0.011,12.712,0.043,12.359,0.044,3,Simbad
812,75.908167,-69.063083,0.015,1.086,14.67,0.011,13.691,0.01,12.733,0.024,12.369,0.025,3,Simbad
