OGLE,Frame,Filter,MJD,Exp,Array,Xpix,Ypix
434,idi532e4q,F555W,1357.849,2.0,UVIS,608,515
434,idi532e5q,F814W,1357.85,2.0,UVIS,613,509
434,idi518iaq,F160W,1176.417,2.22,IRSUB256,138,136
434,idi532dqq,F160W,1357.776,2.22,IRSUB256,138,139
501,idi5b5hlq,F814W,1468.21,2.5,UVIS2-2K2C-SUB,758,812
501,idi5b5hmq,F555W,1468.213,2.5,UVIS2-2K2C-SUB,768,798
501,idi530gvq,F160W,1356.788,2.55,IRSUB512,262,265
510,idi532e2q,F814W,1357.844,2.0,UVIS2-2K2C-SUB,210,1302
510,idi532e3q,F555W,1357.847,2.0,UVIS2-2K2C-SUB,233,1280
510,idi518ibq,F160W,1176.419,2.22,IRSUB256,153,139
512,idi5b5hjq,F555W,1468.208,2.5,UVIS2-C1K1C-SUB,505,501
512,idi5b5hkq,F814W,1468.209,2.5,UVIS2-C1K1C-SUB,505,501
512,idi530guq,F160W,1356.787,0.83,IRSUB256,137,136
528,idi530gzq,F814W,1356.797,2.0,UVIS2-2K2C-SUB,424,1147
528,idi530h0q,F555W,1356.799,2.0,UVIS2-2K2C-SUB,393,1176
528,idi5a5hiq,F160W,1468.2,1.11,IRSUB256,138,138
545,idi530h3q,F814W,1356.806,2.0,UVIS,424,745
545,idi530h4q,F555W,1356.807,2.0,UVIS,413,756
545,idi530gxq,F160W,1356.793,2.55,IRSUB512,160,377
590,idi519ocq,F555W,1260.601,2.5,UVIS2-C512C-SUB,251,253
590,idi519odq,F814W,1260.602,2.5,UVIS2-C512C-SUB,249,254
590,idi532drq,F160W,1357.778,2.55,IRSUB512,220,323
594,idi519oiq,F555W,1260.61,2.5,UVIS2-C1K1C-SUB,20,1012
594,idi519ojq,F814W,1260.611,2.5,UVIS2-C1K1C-SUB,17,1015
594,idi532dzq,F555W,1357.794,2.0,UVIS2-2K2C-SUB,50,1552
594,idi532e0q,F814W,1357.796,2.0,UVIS2-2K2C-SUB,50,1549
594,idi518icq,F160W,1176.421,2.22,IRSUB256,172,146
594,idi532dtq,F160W,1357.782,2.55,IRSUB512,155,394
648,idi519okq,F814W,1260.612,2.5,UVIS2-C1K1C-SUB,37,997
648,idi519olq,F555W,1260.613,2.5,UVIS2-C1K1C-SUB,42,992
648,idi532dxq,F814W,1357.79,2.0,UVIS2-2K2C-SUB,199,1409
648,idi532dyq,F555W,1357.792,2.0,UVIS2-2K2C-SUB,220,1380
648,idi518idq,F160W,1176.423,2.22,IRSUB256,188,152
648,idi532dsq,F160W,1357.78,2.55,IRSUB512,206,340
683,idi5b5hnq,F555W,1468.215,4.0,UVIS2-2K2C-SUB,1003,555
683,idi5b5hoq,F814W,1468.217,4.0,UVIS2-2K2C-SUB,1016,540
683,idi530gwq,F160W,1356.791,2.55,IRSUB512,204,335
712,id5d08p8q,F814W,754.3776,2.5,UVIS2-C512C-SUB,379,314
712,id5d08p9q,F555W,754.3785,2.5,UVIS2-C512C-SUB,376,315
712,id5d08odq,F160W,754.344,2.22,IRSUB256,136,138
716,id5d08paq,F555W,754.3792,2.5,UVIS2-C512C-SUB,383,315
716,id5d08pbq,F814W,754.3802,2.5,UVIS2-C512C-SUB,380,316
716,id5d08ocq,F160W,754.3427,2.22,IRSUB256,136,137
727,idi532dvq,F555W,1357.785,2.0,UVIS2-2K2C-SUB,270,1358
727,idi532dwq,F814W,1357.787,2.0,UVIS2-2K2C-SUB,270,1353
727,idi532duq,F160W,1357.784,2.55,IRSUB512,122,433
757,idi519omq,F555W,1260.615,2.5,UVIS2-2K2C-SUB,321,1272
757,idi519onq,F814W,1260.617,2.5,UVIS2-2K2C-SUB,291,1307
757,idi518ieq,F160W,1176.425,2.22,IRSUB256,229,173
770,id5d08p6q,F555W,754.3754,2.5,UVIS2-C512C-SUB,389,313
770,id5d08p7q,F814W,754.3763,2.5,UVIS2-C512C-SUB,385,311
770,id5d08oeq,F160W,754.3457,2.22,IRSUB256,136,136
787,idi519ooq,F555W,1260.62,2.5,UVIS2-2K2C-SUB,205,1422
787,idi519opq,F814W,1260.622,2.5,UVIS2-2K2C-SUB,197,1433
787,idi531y1q,F160W,1354.807,2.55,IRSUB512,44,503
798,id5d08osq,F814W,754.3625,2.5,UVIS2-C512C-SUB,328,288
798,id5d08otq,F555W,754.3633,2.5,UVIS2-C512C-SUB,325,288
798,id5d08olq,F160W,754.3549,2.22,IRSUB256,142,140
800,id5d08p4q,F814W,754.3736,2.5,UVIS2-C512C-SUB,367,302
800,id5d08p5q,F555W,754.3745,2.5,UVIS2-C512C-SUB,363,301
800,id5d08ofq,F160W,754.3469,2.22,IRSUB256,136,136
812,id5d08ooq,F814W,754.3588,2.5,UVIS2-C512C-SUB,287,270
812,id5d08opq,F555W,754.3596,2.5,UVIS2-C512C-SUB,286,270
812,id5d08onq,F160W,754.3575,2.22,IRSUB256,147,142
819,id5d08oyq,F555W,754.3679,2.5,UVIS2-C512C-SUB,358,300
819,id5d08ozq,F814W,754.3688,2.5,UVIS2-C512C-SUB,356,299
819,id5d08oiq,F160W,754.351,2.22,IRSUB256,136,135
821,id5d08ouq,F555W,754.3643,2.5,UVIS2-C512C-SUB,325,287
821,id5d08ovq,F814W,754.3652,2.5,UVIS2-C512C-SUB,326,288
821,id5d08okq,F160W,754.3535,2.22,IRSUB256,142,139
831,id5d08p0q,F814W,754.3696,2.5,UVIS2-C512C-SUB,352,297
831,id5d08p1q,F555W,754.3704,2.5,UVIS2-C512C-SUB,349,296
831,id5d08ohq,F160W,754.3499,2.22,IRSUB256,136,134
844,id5d08oqq,F555W,754.3605,2.5,UVIS2-C512C-SUB,289,266
844,id5d08orq,F814W,754.3615,2.5,UVIS2-C512C-SUB,288,266
844,id5d08omq,F160W,754.3562,2.22,IRSUB256,141,137
847,id5d08owq,F814W,754.3661,2.5,UVIS2-C512C-SUB,326,284
847,id5d08oxq,F555W,754.3669,2.5,UVIS2-C512C-SUB,324,284
847,id5d08ojq,F160W,754.3523,2.22,IRSUB256,135,134
848,id5d08p2q,F555W,754.3716,2.5,UVIS2-C512C-SUB,347,295
848,id5d08p3q,F814W,754.3726,2.5,UVIS2-C512C-SUB,344,293
848,id5d08ogq,F160W,754.3483,2.22,IRSUB256,138,136
888,id5d26goq,F814W,802.9853,2.5,UVIS2-C512C-SUB,435,333
888,id5d26gpq,F555W,802.9861,2.5,UVIS2-C512C-SUB,440,335
888,id5d07ckq,F160W,762.2015,2.22,IRSUB256,184,167
915,id5d07ctq,F814W,762.2108,2.5,UVIS2-C512C-SUB,477,351
915,id5d07cuq,F555W,762.2116,2.5,UVIS2-C512C-SUB,476,350
915,id5d26gqq,F555W,802.9874,2.5,UVIS2-C512C-SUB,451,327
915,id5d26grq,F814W,802.9884,2.5,UVIS2-C512C-SUB,460,330
915,id5d07clq,F160W,762.2031,2.22,IRSUB256,188,167
915,id5d26gyq,F160W,802.9959,2.22,IRSUB256,236,182
936,id5d26gkq,F814W,802.9815,2.5,UVIS2-C512C-SUB,411,327
936,id5d26glq,F555W,802.9824,2.5,UVIS2-C512C-SUB,415,329
936,id5d07ciq,F160W,762.1988,2.22,IRSUB256,178,162
949,id5d26gmq,F555W,802.9832,2.5,UVIS2-C512C-SUB,426,329
949,id5d26gnq,F814W,802.9842,2.5,UVIS2-C512C-SUB,430,330
949,id5d07cjq,F160W,762.2,2.22,IRSUB256,179,163
966,idi535hfq,F814W,1468.188,2.5,UVIS2-C512C-SUB,251,245
966,idi535hgq,F555W,1468.189,2.5,UVIS2-C512C-SUB,251,245
966,idi535hhq,F160W,1468.19,2.22,IRSUB256,136,135
969,id5d26geq,F555W,802.976,2.5,UVIS2-C512C-SUB,330,294
969,id5d26gfq,F814W,802.977,2.5,UVIS2-C512C-SUB,334,296
969,id5d07ceq,F160W,762.195,2.22,IRSUB256,163,153
970,id5d26ggq,F814W,802.9779,2.5,UVIS2-C512C-SUB,371,311
970,id5d26ghq,F555W,802.9787,2.5,UVIS2-C512C-SUB,373,313
970,id5d07cgq,F160W,762.1962,2.22,IRSUB256,168,155
975,id5d26giq,F555W,802.9796,2.5,UVIS2-C512C-SUB,402,326
975,id5d26gjq,F814W,802.9805,2.5,UVIS2-C512C-SUB,405,327
975,id5d07chq,F160W,762.1974,2.22,IRSUB256,168,156
978,id5d26gcq,F814W,802.9744,2.5,UVIS2-C512C-SUB,322,290
978,id5d26gdq,F555W,802.9753,2.5,UVIS2-C512C-SUB,326,292
978,id5d07cdq,F160W,762.194,2.22,IRSUB256,162,152
986,id5d07crq,F555W,762.2086,2.5,UVIS2-C512C-SUB,427,325
986,id5d07csq,F814W,762.2095,2.5,UVIS2-C512C-SUB,425,323
986,id5d26gsq,F814W,802.9896,2.5,UVIS2-C512C-SUB,493,330
986,id5d26gtq,F555W,802.9905,2.5,UVIS2-C512C-SUB,502,333
986,idi534b5q,F814W,1466.855,1.0,UVIS2-2K2C-SUB,634,1453
