ID,host,logP,dmV,dmH,Vamp,Hamp,sigma,SimbadName,_RA,_DE
137184,n5643,1.2775,-0.008,1.012,0.722,-0.03,0.154,,,
359695,n5643,1.3822,0.006,0.548,1.073,0.451,0.119,,,
322246,n5643,1.8627,0.031,0.215,0.396,0.257,0.091,,,
351118,n5643,1.4188,-0.025,0.531,0.995,0.27,0.147,,,
203310,n5643,1.3248,0.016,1.134,0.771,0.275,0.132,,,
266199,n5643,1.6972,-0.008,0.222,0.578,0.41,0.127,,,
278629,n5643,1.8086,0.012,0.311,0.714,0.291,0.136,,,
279184,n5643,1.3105,0.026,1.173,1.089,0.351,0.142,,,
279997,n5643,1.5789,0.006,0.368,0.349,-0.04,0.161,,,
116397,n5643,1.522,0.007,0.526,1.057,0.132,0.099,,,
116674,n5643,1.7849,0.019,0.201,0.481,0.139,0.095,,,
117013,n5643,1.6848,0.01,0.338,0.689,0.232,0.103,,,
252671,n5643,1.3188,0.02,0.901,0.737,0.103,0.15,,,
333411,n5643,1.4864,0.005,0.303,0.604,0.04,0.101,,,
333984,n5643,1.9576,0.011,0.137,0.353,0.149,0.08,,,
198324,n5643,1.6043,0.01,0.576,0.818,0.153,0.127,,,
199362,n5643,1.6047,0.003,0.344,0.971,0.467,0.126,,,
199910,n5643,1.7244,-0.019,0.293,0.532,0.2,0.139,,,
327160,n5643,1.7964,0.004,0.215,0.566,0.286,0.083,,,
327171,n5643,1.3001,-0.005,0.811,0.623,0.06,0.12,,,
346792,n5643,1.5768,-0.004,0.355,0.952,0.254,0.129,,,
347957,n5643,1.4711,-0.008,0.491,0.764,0.278,0.118,,,
109751,n5643,1.2099,0.077,1.655,1.179,0.428,0.128,,,
111166,n5643,1.7616,-0.004,0.173,0.648,0.365,0.115,,,
111582,n5643,1.2193,-0.021,1.553,0.949,0.417,0.141,,,
112621,n5643,1.3326,-0.007,0.428,0.748,0.399,0.152,,,
135738,n5643,1.2889,0.014,0.629,0.824,0.302,0.115,,,
142248,n5643,1.3925,0.002,0.86,0.848,0.283,0.149,,,
268099,n5643,1.8325,0.017,0.154,0.398,0.157,0.115,,,
269770,n5643,1.2123,0.065,1.562,0.975,0.178,0.152,,,
354602,n5643,1.3104,-0.023,0.585,0.834,0.233,0.129,,,
357343,n5643,1.5611,0.016,0.276,0.891,0.198,0.116,,,
337982,n5643,1.5161,0.003,0.469,1.101,0.123,0.117,,,
339012,n5643,1.276,0.079,0.853,1.037,0.086,0.138,,,
127768,n5643,1.6223,0.016,0.249,0.838,0.087,0.137,,,
128289,n5643,1.8427,-0.013,0.243,0.491,0.142,0.093,,,
281370,n5643,1.4983,-0.023,0.466,0.954,0.197,0.14,,,
3166366,n5643,1.1857,0.011,1.235,0.84,0.079,0.106,,,
3080928,n5643,1.2516,0.065,1.285,0.746,0.111,0.1,,,
184949,n5643,1.7628,0.008,0.285,0.634,0.196,0.138,,,
330115,n5643,1.5138,0.007,0.285,0.877,0.134,0.165,,,
330280,n5643,1.7668,-0.003,0.173,0.72,0.329,0.095,,,
330421,n5643,1.4739,0.009,0.34,0.844,0.327,0.114,,,
330991,n5643,1.4571,-0.001,0.334,0.909,0.139,0.117,,,
331111,n5643,1.545,-0.002,0.319,0.991,0.342,0.102,,,
331598,n5643,1.2846,0.022,0.654,1.071,0.268,0.152,,,
298681,n5643,1.6667,-0.002,0.512,0.562,0.174,0.102,,,
300646,n5643,1.4636,-0.003,0.741,1.077,0.327,0.13,,,
166881,n5643,1.3628,0.015,0.796,0.597,0.161,0.134,,,
288893,n5643,1.2103,0.048,1.283,0.991,0.403,0.117,,,
289210,n5643,1.5309,0.008,0.266,0.991,0.22,0.119,,,
290380,n5643,1.6836,0.01,0.313,0.795,0.081,0.097,,,
77298,n5643,1.3346,0.039,0.657,0.746,0.289,0.149,,,
77583,n5643,1.6447,0.009,0.279,0.609,0.245,0.16,,,
86149,n5643,1.3781,-0.023,0.74,1.04,0.323,0.142,,,
305836,n5643,1.8539,0.006,0.233,0.377,0.136,0.088,,,
170475,n5643,1.602,0.006,0.321,0.803,0.111,0.117,,,
170517,n5643,1.7169,0.003,0.213,0.498,0.356,0.143,,,
319680,n5643,1.5666,0.009,0.491,0.91,0.248,0.117,,,
320469,n5643,1.7218,0.002,0.145,0.632,0.451,0.132,,,
320552,n5643,1.58,0.014,0.247,0.959,0.485,0.104,,,
158701,n5643,1.3626,0.007,0.745,0.895,0.224,0.14,,,
