ID,Per,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W,F350LP,e_F350LP,AmpV,AmpI
J121856.37+471611.8,5.01,184.734879,47.269939,26.686,0.302,25.155,0.355,,,0.298,0.214
J121846.12+472037.4,5.021,184.692184,47.343731,26.441,0.126,25.606,0.166,26.354,0.151,0.311,0.198
J121849.57+472117.6,5.035,184.706543,47.354893,27.387,0.19,26.392,0.321,27.117,0.185,0.271,0.194
J121904.04+471536.1,5.036,184.766846,47.260014,26.642,0.317,25.552,0.345,,,0.275,0.15
J121854.29+471921.1,5.054,184.726227,47.322521,26.578,0.315,25.694,0.474,,,0.333,0.237
J121848.01+472138.4,5.086,184.700058,47.360661,26.129,0.134,25.362,0.186,25.928,0.134,0.418,0.247
J121833.83+472003.3,5.086,184.640945,47.334251,25.863,0.141,25.095,0.199,25.968,0.093,0.277,0.198
J121835.63+472110.9,5.087,184.648453,47.353016,26.13,0.137,25.265,0.213,25.966,0.107,0.316,0.226
J121856.58+471617.4,5.09,184.735764,47.271507,26.183,0.359,24.94,0.451,,,0.329,0.166
J121851.55+472108.1,5.093,184.714783,47.352257,26.369,0.242,25.634,0.381,,,0.309,0.228
J121918.33+471009.0,5.094,184.82637,47.169178,26.084,0.183,25.496,0.115,,,0.481,0.315
J121914.22+471151.0,5.134,184.80925,47.197506,26.317,0.131,25.389,0.157,,,0.395,0.221
J121858.88+471626.9,5.149,184.745316,47.274139,26.854,0.682,26.128,0.419,,,0.405,0.239
J121847.85+471930.3,5.157,184.699356,47.325077,26.736,0.179,25.989,0.283,,,0.311,0.203
J121845.69+472031.9,5.165,184.690369,47.342205,26.988,0.223,26.023,0.268,26.702,0.174,0.262,0.187
J121844.10+472011.7,5.167,184.683746,47.33659,26.447,0.163,25.525,0.227,26.126,0.125,0.398,0.284
J121845.71+472055.1,5.173,184.690445,47.348648,26.637,0.153,25.655,0.175,26.327,0.172,0.332,0.192
J121849.54+472125.2,5.191,184.706421,47.35701,26.193,0.232,25.542,0.195,26.407,0.132,0.287,0.205
J121846.15+472022.6,5.198,184.692276,47.339615,26.313,0.105,25.318,0.171,26.13,0.165,0.394,0.275
J121847.93+471846.4,5.202,184.699692,47.312881,26.333,0.173,25.494,0.243,,,0.284,0.172
J121848.10+472045.9,5.207,184.700424,47.346081,26.401,0.27,25.258,0.097,26.205,0.045,0.341,0.244
J121923.94+471032.3,5.213,184.849762,47.175629,26.401,0.128,25.656,0.124,,,0.335,0.174
J121851.39+471523.0,5.224,184.714142,47.25639,26.251,0.269,25.335,0.246,,,0.489,0.295
J121850.08+472107.0,5.231,184.708679,47.351933,26.326,0.142,25.398,0.225,26.217,0.174,0.302,0.156
J121922.50+471031.8,5.24,184.843765,47.175488,26.209,0.094,25.402,0.099,,,0.26,0.211
J121853.33+471446.3,5.242,184.722198,47.246201,26.407,0.209,25.509,0.197,,,0.472,0.341
J121844.94+472011.8,5.243,184.687241,47.336609,26.208,0.161,25.611,0.26,25.997,0.153,0.36,0.257
J121847.46+472158.8,5.255,184.697754,47.366333,27.142,0.164,26.264,0.326,27.081,0.227,0.298,0.213
J121854.58+472015.7,5.275,184.727417,47.337708,26.613,0.334,25.588,0.477,,,0.288,0.197
J121856.85+471500.5,5.278,184.736893,47.25013,26.852,0.274,26.005,0.313,,,0.461,0.288
J121858.20+471614.1,5.278,184.742493,47.270592,25.878,0.215,25.333,0.365,,,0.301,0.228
J121848.74+472253.3,5.286,184.703094,47.381477,26.345,0.129,25.451,0.306,26.063,0.102,0.294,0.21
J121832.66+472121.3,5.314,184.636093,47.355923,26.255,0.101,25.134,0.466,25.978,0.153,0.341,0.244
J121855.24+471710.1,5.318,184.730148,47.286152,26.605,0.292,25.43,0.36,,,0.303,0.265
J121904.37+471606.6,5.32,184.768188,47.268494,26.159,0.155,25.371,0.279,,,0.34,0.258
J121851.96+472123.7,5.323,184.716507,47.35659,26.129,0.197,25.303,0.294,,,0.319,0.192
J121852.29+471840.7,5.334,184.717865,47.311298,26.579,0.396,25.673,0.429,,,0.398,0.251
J121850.06+472319.5,5.337,184.708603,47.388741,26.155,0.167,25.423,0.167,26.032,0.129,0.302,0.216
J121844.73+471920.7,5.348,184.686386,47.322418,25.642,0.149,24.947,0.251,,,0.188,0.164
J121914.98+471212.0,5.36,184.812424,47.203339,26.438,0.152,25.514,0.155,,,0.318,0.282
J121918.87+471146.2,5.362,184.828629,47.196156,26.735,0.185,25.716,0.175,,,0.53,0.309
J121849.02+471628.2,5.364,184.704254,47.274494,26.793,0.192,26.139,0.24,,,0.359,0.348
J121848.50+472116.4,5.369,184.702072,47.354549,26.286,0.209,25.485,0.316,26.113,0.212,0.238,0.17
J121845.95+472200.2,5.388,184.691467,47.366714,25.814,0.111,25.171,0.15,25.647,0.116,0.412,0.217
J121848.12+471849.8,5.389,184.7005,47.313824,25.903,0.164,24.965,0.337,,,0.291,0.192
J121848.60+471859.9,5.403,184.702499,47.316647,26.336,0.262,25.723,0.384,,,0.386,0.339
J121912.09+471038.0,5.415,184.800385,47.177227,26.614,0.151,25.666,0.097,,,0.395,0.249
J121921.56+471154.4,5.417,184.839828,47.198437,26.03,0.11,25.262,0.149,,,0.408,0.262
J121915.42+471154.6,5.427,184.81427,47.198505,26.632,0.119,25.629,0.163,,,0.335,0.213
J121847.18+472056.4,5.434,184.696564,47.348988,27.3,0.274,26.187,0.389,26.815,0.218,0.233,0.167
J121902.67+471748.3,5.44,184.761139,47.296753,25.775,0.291,25.28,0.534,,,0.255,0.176
J121843.39+472306.1,5.452,184.680786,47.385033,26.748,0.234,25.693,0.438,26.29,0.109,0.4,0.286
J121844.89+472139.8,5.459,184.687027,47.361046,26.182,0.305,25.353,0.254,26.112,0.167,0.302,0.216
J121839.40+472022.5,5.461,184.664185,47.339592,26.475,0.152,25.588,0.132,,,0.409,0.232
J121849.12+471834.1,5.462,184.704666,47.309483,26.312,0.288,25.663,0.307,,,0.346,0.175
J121841.64+471942.2,5.463,184.673492,47.328381,26.532,0.173,25.624,0.188,,,0.374,0.24
J121831.27+472022.5,5.475,184.630295,47.339581,27.056,0.316,25.692,0.079,27.227,0.068,0.267,0.191
J121850.11+471843.0,5.487,184.708786,47.311943,26.725,0.3,25.961,0.449,,,0.509,0.296
J121916.45+471202.3,5.496,184.818558,47.200626,26.157,0.142,25.442,0.168,,,0.245,0.202
J121902.59+471710.5,5.496,184.760773,47.286255,26.044,0.244,25.073,0.5,,,0.323,0.259
J121854.62+471935.0,5.506,184.727585,47.326397,26.702,0.278,25.958,0.457,,,0.339,0.179
J121854.68+471720.3,5.515,184.727844,47.288967,26.053,0.292,25.249,0.319,,,0.341,0.173
J121852.12+471447.4,5.517,184.717178,47.246502,25.532,0.153,24.937,0.122,,,0.298,0.186
J121831.94+471939.8,5.53,184.633072,47.327709,26.38,0.188,25.514,0.151,26.406,0.089,0.338,0.241
J121902.17+471711.1,5.534,184.759048,47.286415,25.987,0.325,25.029,0.46,,,0.31,0.194
J121853.57+472240.5,5.545,184.723221,47.377918,26.695,0.14,25.376,0.246,26.303,0.13,0.259,0.185
J121847.83+471904.5,5.55,184.69928,47.317905,26.182,0.179,25.269,0.27,,,0.4,0.201
J121901.01+471458.3,5.551,184.754227,47.249527,26.151,0.212,25.557,0.297,,,0.334,0.309
J121900.69+471521.5,5.558,184.752884,47.255974,26.057,0.218,25.504,0.267,,,0.306,0.236
J121851.66+471515.5,5.564,184.71524,47.254318,26.298,0.185,25.467,0.214,,,0.381,0.35
J121852.01+471603.3,5.581,184.71669,47.267578,27.062,0.257,25.902,0.269,,,0.361,0.22
J121854.29+471456.7,5.631,184.726212,47.249077,26.097,0.257,25.232,0.3,,,0.313,0.2
J121850.22+472125.0,5.649,184.709259,47.356956,26.065,0.123,24.985,0.224,25.841,0.135,0.217,0.155
J121901.36+471755.1,5.658,184.755676,47.298626,26.139,0.348,25.398,0.491,,,0.393,0.213
J121831.48+472116.3,5.661,184.63118,47.35453,27.387,0.519,26.255,0.322,27.181,0.144,0.337,0.241
J121853.98+471906.2,5.688,184.72493,47.318394,26.515,0.244,25.356,0.384,,,0.401,0.227
