Field,Epoch,Date,Dataset,Filt,ExpTime,Ndit
F1,1,2003-12-05,J8R001020,F814W,800.0,2
F1,1,2003-12-05,J8R001030,F555W,1600.0,2
F1,2,2003-12-06,J8R002020,F814W,800.0,2
F1,2,2003-12-06,J8R002030,F555W,1600.0,2
F1,3,2003-12-07,J8R003020,F814W,800.0,2
F1,3,2003-12-07,J8R003030,F555W,1600.0,2
F1,4,2003-12-08,J8R004020,F814W,800.0,2
F1,4,2003-12-08,J8R004030,F555W,1600.0,2
F1,5,2003-12-10,J8R005020,F814W,800.0,2
F1,5,2003-12-10,J8R005030,F555W,1600.0,2
F1,6,2003-12-12,J8R006020,F814W,800.0,2
F1,6,2003-12-12,J8R006030,F555W,1600.0,2
F1,7,2003-12-15,J8R007020,F814W,800.0,2
F1,7,2003-12-15,J8R007030,F555W,1600.0,2
F1,8,2003-12-19,J8R008020,F814W,800.0,2
F1,8,2003-12-19,J8R008030,F555W,1600.0,2
F1,9,2003-12-23,J8R009020,F814W,800.0,2
F1,9,2003-12-23,J8R009030,F555W,1600.0,2
F1,10,2003-12-30,J8R010020,F814W,800.0,2
F1,10,2003-12-30,J8R010030,F555W,1600.0,2
F1,11,2004-01-07,J8R011020,F814W,800.0,2
F1,11,2004-01-07,J8R011030,F555W,1600.0,2
F1,12,2004-01-18,J8R012020,F814W,800.0,2
F1,12,2004-01-18,J8R012030,F555W,1600.0,2
F2,1,2003-12-07,J8R013020,F814W,800.0,2
F2,1,2003-12-07,J8R013030,F555W,1600.0,2
F2,2,2003-12-07,J8R014020,F814W,800.0,2
F2,2,2003-12-07,J8R014030,F555W,1600.0,2
F2,3,2003-12-08,J8R015020,F814W,800.0,2
F2,3,2003-12-08,J8R015030,F555W,1600.0,2
F2,4,2003-12-09,J8R016020,F814W,800.0,2
F2,4,2003-12-09,J8R016030,F555W,1600.0,2
F2,5,2003-12-12,J8R017020,F814W,800.0,2
F2,5,2003-12-12,J8R017030,F555W,1600.0,2
F2,6,2003-12-14,J8R018020,F814W,800.0,2
F2,6,2003-12-14,J8R018030,F555W,1600.0,2
F2,7,2003-12-17,J8R019020,F814W,400.0,2
F2,7,2003-12-17,J8R019030,F555W,800.0,2
F2,8,2003-12-20,J8R020020,F814W,800.0,2
F2,8,2003-12-20,J8R020030,F555W,1600.0,2
F2,9,2003-12-24,J8R021020,F814W,800.0,2
F2,9,2003-12-24,J8R021030,F555W,1600.0,2
F2,10,2004-01-01,J8R022020,F814W,800.0,2
F2,10,2004-01-01,J8R022030,F555W,1600.0,2
F2,11,2004-01-08,J8R023020,F814W,800.0,2
F2,11,2004-01-08,J8R023030,F555W,1600.0,2
F2,12,2004-01-19,J8R024020,F814W,800.0,2
F2,12,2004-01-19,J8R024030,F555W,1600.0,2
F3,1,2020-12-03,JEBI01010,F555W,640.0,1
F3,1,2020-12-03,JEBI01YKQ,F814W,640.0,1
F3,2,2020-12-07,JEBI13020,F555W,1174.0,2
F3,2,2020-12-07,JEBI13010,F814W,1025.0,2
F3,3,2020-12-10,JEBI02010,F555W,640.0,1
F3,4,2020-12-18,JEBI03010,F555W,640.0,1
F3,4,2020-12-18,JEBI03WMQ,F814W,640.0,1
F3,5,2020-12-24,JEBI04010,F555W,640.0,1
F3,6,2020-12-31,JEBI05010,F555W,640.0,1
F3,6,2020-12-31,JEBI05B2Q,F814W,640.0,1
F3,7,2021-01-06,JEBI06010,F555W,640.0,1
F3,8,2021-01-10,JEBI07010,F555W,640.0,1
F3,8,2021-01-10,JEBI07VTQ,F814W,640.0,1
